set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
7h,15,5.0,2.0,5809.630000000058,1.155466063958693,-1726.999999999999,7608.3080000000355,1.249144517290579,-1359.98,3.2306004505816754,13417.938000000093,7.379986931785727,-1818.152000000001,2.1786886675469184,True
7h,15,99.0,1.0,6667.690000000017,1.2585414243293607,-1745.6409999999987,7626.046000000002,1.373496375157753,-758.3599999999974,3.1959919436891004,14293.736000000019,8.188244891131697,-1745.6409999999987,2.167611911694931,True
7h,15,99.0,1.5,8675.31200000003,1.2575088818817344,-2552.3485,7208.737500000013,1.2625431803928724,-936.9750000000058,2.520309064343496,15884.049500000045,6.223307475448607,-2552.3485,1.985625081488399,True
7h,15,99.0,2.0,7962.129000000044,1.198282634241483,-2923.7730000000083,9861.872000000028,1.3104365710233457,-1083.8159999999955,2.9332912107263702,17824.001000000073,6.096232847078078,-2923.7730000000083,1.9507642104414233,True
7h,30,1.0,1.0,1751.658999999998,1.0842859045570794,-677.4579999999921,3342.790000000002,1.205544314368881,-737.1419999999966,2.9618127393612528,5094.449,6.911082260948397,-737.1419999999966,1.8299368239841491,True
7h,30,1.0,1.5,1470.6305000000148,1.0603543121914933,-987.712499999983,3389.759000000009,1.176867443401265,-615.6809999999975,2.6803960815590395,4860.389500000024,4.886397349894832,-994.6775000000014,1.5127790068916205,True
7h,30,1.0,2.0,1475.8820000000048,1.0561035444043172,-996.5000000000065,2427.395999999986,1.1132826004657872,-1229.387999999996,1.676482333682852,3903.277999999991,2.8538429087090593,-1367.7270000000258,1.0757075628740795,True
7h,30,2.0,1.0,3342.417000000024,1.1261132625207555,-775.351999999999,5826.309000000032,1.2806486812162416,-523.2680000000071,3.785319480864419,9168.726000000057,11.825243244358775,-775.351999999999,2.3177987987801996,True
7h,30,2.0,1.5,3459.985000000058,1.1069020792482782,-1136.210500000011,5255.529000000031,1.2022269818057918,-601.989999999992,2.9265879261144048,8715.51400000009,7.670686021648279,-1136.210500000011,1.8764671701192155,True
7h,30,2.0,2.0,3481.030000000045,1.0961186406925667,-858.3489999999783,5642.23600000002,1.1955634600279919,-1129.1329999999984,2.931734769183136,9123.266000000065,8.079886071879999,-1129.132999999998,1.843566290327566,True
7h,30,3.0,1.0,4485.25000000006,1.1557564676916088,-1110.4919999999993,8203.879000000012,1.3692469550967217,-637.5800000000014,4.2507658616240676,12689.129000000072,11.426582992043237,-1110.4919999999993,2.582517337980311,True
7h,30,3.0,1.5,4975.402000000098,1.138198881593352,-1798.38349999999,7949.0740000000205,1.2813825129741312,-822.4379999999887,3.5644400284400386,12924.476000000119,7.1867185169348975,-1798.38349999999,2.2358812013280263,True
7h,30,3.0,2.0,5266.767000000051,1.1294716048982125,-1402.2829999999976,8777.058000000008,1.277908641264649,-753.4990000000007,3.706359609835921,14043.825000000059,10.014972013495193,-1402.2829999999976,2.2953632355593734,True
